,Date,User,Tweet
53,2023-02-23 15:57:57+00:00,TimesNow,"#KhalistanFreeRun

During campaigning for Punjab elections, Gurpatwant Singh Pannu from Canada, who is running the organization SFJ, openly said that 'we are going to fund AAP in elections': @drkamalsoi slams AAP.

@TheNewshour | @NavikaKumar https://t.co/iAd31TekRu"
54,2023-02-23 15:55:00+00:00,TimesNow,"#SorryAfterInsult

One Cong Neta Deplaned &amp; Detained... Cong Hijacks Runway For Rajniti

Now, Offers Apology After Insult

Khera Admits 'Inadvertent Error'

BJP: First Abuse, Then Play Victim

Facing Arrest, ‘Sorry’ To Save Face?

@TheNewshour with @NavikaKumar @ 9:35 PM https://t.co/c3rdXbIaB2"
55,2023-02-23 15:53:03+00:00,TimesNow,"Autocar Awards 2023 | ""The Indian automotive industry has been a significant contributor to the Indian economy,"" says @Anandmk, MD and CEO, Times Network 

 #Autocar @autocarindiamag https://t.co/rTkvVEyP6T"
56,2023-02-23 15:50:45+00:00,TimesNow,"#KhalistanFreeRun

Punjab has one of the largest Police forces in this country but you have no policing. And look at the non-sensical excuse given by SSP Amritsar: @sushantsareen

Watch @TheNewshour with @NavikaKumar https://t.co/jNeZCI0PvK"
57,2023-02-23 15:50:00+00:00,TimesNow,"#SorryAfterInsult

One Cong Neta Deplaned &amp; Detained... Cong Hijacks Runway For Rajniti

Now, Offers Apology After Insult

Khera Admits 'Inadvertent Error'

BJP: First Abuse, Then Play Victim

Facing Arrest, ‘Sorry’ To Save Face?

@TheNewshour with @NavikaKumar @ 9:35 PM https://t.co/mZRmPLYPuu"
58,2023-02-23 15:45:00+00:00,TimesNow,"#SorryAfterInsult

One Cong Neta Deplaned &amp; Detained... Cong Hijacks Runway For Rajniti

Now, Offers Apology After Insult

Khera Admits 'Inadvertent Error'

BJP: First Abuse, Then Play Victim

Facing Arrest, ‘Sorry’ To Save Face?

@TheNewshour with @NavikaKumar @ 9:35 PM https://t.co/CPi9kxB7Yu"
59,2023-02-23 15:43:44+00:00,TimesNow,"#KhalistanFreeRun

Today, Punjab Police is empowered to act against terrorists, drugs &amp; mafias. The situation has improved in Punjab: @akashmuni01

Watch @TheNewshour with @NavikaKumar https://t.co/aZkSGm5LNu"
60,2023-02-23 15:40:00+00:00,TimesNow,"#SorryAfterInsult

One Cong Neta Deplaned &amp; Detained... Cong Hijacks Runway For Rajniti

Now, Offers Apology After Insult

Khera Admits 'Inadvertent Error'

BJP: First Abuse, Then Play Victim

Facing Arrest, ‘Sorry’ To Save Face?

@TheNewshour with @NavikaKumar @ 9:35 PM https://t.co/ZzKxcqLU3E"
61,2023-02-23 15:38:17+00:00,TimesNow,"#KhalistanFreeRun

Armed 'Khalistan' Siege In Punjab... Open Assault On The 'Idea Of India'

After He Dared State &amp; Centre, Sarkar Bows Down To His Demands  

Punjab Sarkar Loses All Control

Why Allow This #KhalistanFreeRun?

Watch @thenewshour with @navikakumar https://t.co/FGnXSHKVRt"
62,2023-02-23 15:35:09+00:00,TimesNow,"#JaiJawanBetrayed

If one doesn't agree with the scheme, will you abuse the boys that are joining: @GeneralBakshi

@RShivshankar | #IndiaUpfront https://t.co/1fj7L4I8u5"
