tweet_id,Date,User,Tweet
76,2023-02-23 14:55:10+00:00,IndiaToday,"Can #Congress lead alliance against Modi?
Author &amp; columnist @bainjal says, ""It looks like a khichdi to the voters at the moment."" 
""Congress is the default national alternative to the BJP,"" says @JhaSanjay. 
Listen in to what @_YogendraYadav replies. 
#Newstrack | @rahulkanwal https://t.co/ANqjTYfxdO"
77,2023-02-23 14:41:24+00:00,IndiaToday,"United opposition in 2024?
Swaraj Abhiyan leader @_YogendraYadav says, ""Mahagathbandhan of the opposition is not a very useful idea.""

#Elections2024 #Newstrack | @rahulkanwal https://t.co/ZO21bpmqn8"
78,2023-02-23 14:36:52+00:00,IndiaToday,"Tarmac drama over Pawan Khera's arrest! Watch this report 

#Congress #Newstrack | @rahulkanwal https://t.co/V6oNARz9Xe"
79,2023-02-23 14:30:53+00:00,IndiaToday,"""BJP should respect the mandate of people of Delhi... Allow us to deliver on our promises,"" says AAP's @Gupta_ReenaG

""We want a free and a fair election and secrecy should be maintained,""  says BJP's  @HarishKhuranna.

Watch #TTP with @PreetiChoudhry: https://t.co/pfRETTAPGA https://t.co/Bx0nubySuG"
80,2023-02-23 14:30:00+00:00,IndiaToday,"As #Meghalaya goes to polls, @sardesairajdeep explores the rich food culture of the state in #ElectionOnMyPlate. 
Watch this sumptuous show on the campaign trail in Meghalaya on Friday  at 9:00 pm, only on India Today

#Promo https://t.co/VvBslaGOlA"
81,2023-02-23 14:27:31+00:00,IndiaToday,"Pawan Khera arrested and released; 'Ally' Congress asset or liability? 
Watch this and more on #Newstrack with @rahulkanwal | #ITLivestream https://t.co/dn8CveGmqn"
82,2023-02-23 14:26:14+00:00,IndiaToday,"According to the #NIA, the hall was being used for terrorism, including terrorist training 

#Karnataka (@sagayrajp)

https://t.co/eDg3yKKRLa"
83,2023-02-23 14:26:06+00:00,IndiaToday,"Showdown over Standing Committee Poll. 
BJP's  @HarishKhuranna and AAP's @Gupta_ReenaG debate.
Watch #TTP with @PreetiChoudhry: https://t.co/pfRETTAPGA 
#Delhi #News https://t.co/SaMRbevF1f"
84,2023-02-23 14:24:44+00:00,IndiaToday,"What has #Assam Police to do in the entire Delhi tarmac drama?

#PawanKhera 

https://t.co/fakd9F79DN"
85,2023-02-23 14:21:48+00:00,IndiaToday,"'Ally' Congress asset or liability? 
Watch this &amp; much more on #Newstrack with @rahulkanwal, tonight at 8, only on India Today

#Promo https://t.co/sPkdBdCtIv"
86,2023-02-23 14:21:15+00:00,IndiaToday,"""The basic fundamentals of secrecy was being flouted,"" says BJP's @HarishKhuranna.

AAP's @Gupta_ReenaG hits out at BJP says ""BJP should apologise.""

Watch #TTP with @PreetiChoudhry: https://t.co/pfRETTAPGA 
#Delhi #News https://t.co/GGVAMiCt24"
87,2023-02-23 14:12:57+00:00,IndiaToday,"What is Standing committee and why is it so important? @PreetiChoudhry explains.
Watch #TTP: https://t.co/pfRETTAPGA 
#Delhi #News https://t.co/1Xpcn8lhLk"
88,2023-02-23 14:10:42+00:00,IndiaToday,"BJP Vs AAP: Massive standoff on standing Panel
(@tweets_amit, @AkshayDongare_ , @AishPaliwal)

Watch #TTP with @PreetiChoudhry: https://t.co/pfRETTAPGA 
#Delhi #News https://t.co/EplPUJKn4V"
89,2023-02-23 14:10:09+00:00,IndiaToday,"Delhi Mayor elections result in midnight chaos. 
Watch #TTP with @PreetiChoudhry 

#Promo https://t.co/0FTiiSy1FI"
90,2023-02-23 14:05:13+00:00,IndiaToday,"#RJD leader Surendra Prasad Yadav has courted controversy for his scathing remarks against Prime Minister Narendra Modi and the #AgnipathScheme 

(@rohit_manas) 

https://t.co/6QwLZS10iT"
