,Date,User,Tweet
71,2023-02-23 11:58:46+00:00,ndtv,🔴#BREAKING | Punjab Radical Leader's Aide To Be Freed After Supporters Clash With Cops https://t.co/Ww2MRJILUh https://t.co/JJvGZEg0X1
72,2023-02-23 11:54:55+00:00,ndtv,"""We Are Protecting You"": Supreme Court Relief For Congress' Pawan Khera  https://t.co/R2GQn5kzVF

NDTV's Tanushree Pandey reports https://t.co/9Yl58cN97p"
73,2023-02-23 11:52:34+00:00,ndtv,"CR Kesavan, Great-Grandson Of C Rajagopalachari, Quits Congress  https://t.co/F7XzjEh8PH https://t.co/crHIDBMdQf"
74,2023-02-23 11:43:43+00:00,ndtv,"""They have given enough proof that he (detained  Lovepreet Toofan) is innocent. SIT has taken cognizance of it. These people will peacefully disperse now and the law will take its own course"": Commissioner of Police Amritsar | reported by ANI https://t.co/GZdfwjpZJB"
75,2023-02-23 11:41:23+00:00,ndtv,"""As per the evidence presented before us, Lovepreet Toofan will be discharged. SIT constituted to investigate the case"": SSP Amritsar | reported by ANI https://t.co/N5kQybVLWW"
76,2023-02-23 11:38:00+00:00,ndtv,"Supreme Court Relief For Congress' Pawan Khera Who Was Deplaned, Arrested  https://t.co/ot7cJJGvsg

NDTV's Sunil Prabhu reports https://t.co/Gb1u9Lo3yy"
77,2023-02-23 11:34:02+00:00,ndtv,"With Guns, Swords, Radical Leader's Supporters Clash With Cops In Amritsar  https://t.co/zvIKi2Jz0F https://t.co/xJzLsWD5G2"
78,2023-02-23 11:34:00+00:00,ndtv,"With Guns, Swords, Radical Leader's Supporters Clash With Cops In Amritsar  https://t.co/zvIKi2K6Qd https://t.co/Ipmq9iUbYr"
79,2023-02-23 11:30:07+00:00,ndtv,"#ElectionsWithNDTV | Watch the Battle for North East - the campaign, the people and the news makers only on NDTV 24x7 and https://t.co/LpfcFgnMrg https://t.co/thNdJnwBk0"
80,2023-02-23 11:29:49+00:00,ndtv,"Watch #LeftRightCentre with Vishnu Som, tonight at 9 on NDTV 24X7 and https://t.co/hMlRpgaRS6 https://t.co/iwx3UGir0v"
81,2023-02-23 11:23:46+00:00,ndtv,"Watch | AIADMK Spokesperson Kovai Sathyan on Edappadi K Palaniswami to remain AIADMK Chief

NDTV's Sam Daniel reports https://t.co/BhBV7eeh3W"
82,2023-02-23 11:11:21+00:00,ndtv,"""Election Ke Bahane..."": What Nagaland Minister Shared In Viral Tweet  https://t.co/BEQBJ6Gb9w https://t.co/WqwuOtpfgu"
83,2023-02-23 11:10:39+00:00,ndtv,US Spy Plane Pilot's Selfie With Chinese Balloon Released By Pentagon  https://t.co/hkpWWMYOYg https://t.co/mMUhT6Wton
84,2023-02-23 11:09:50+00:00,ndtv,"With Guns, Swords, Radical Leader's Supporters Clash With Cops In Amritsar  https://t.co/zvIKi2K6Qd https://t.co/xfX4ceaBF2"
85,2023-02-23 11:05:22+00:00,ndtv,"Muslim Men's Killing: Two groups of cow vigilantes involved in murder 

NDTV's Saurabh Shukla reports https://t.co/j2KGX8lpYJ"
86,2023-02-23 10:53:38+00:00,ndtv,"Viral Video: Pak Man Says ""Allah, Give Us Modi So That He Can Fix Country""  https://t.co/0zywCEdt5U https://t.co/rKnnoyVZik"
87,2023-02-23 10:51:59+00:00,ndtv,Watch | Rajasthan Chief Minister Ashok Gehlot on Pawan Khera's arrest https://t.co/SMjwnnELLY
88,2023-02-23 10:48:13+00:00,ndtv,"Relief For Congress' Pawan Khera, Supreme Court Flags ""Level Of Discourse""  https://t.co/R2GQn5kzVF 

NDTV's Arvind Gunasekar reports https://t.co/fKM5Jjdrm4"
89,2023-02-23 10:47:00+00:00,ndtv,"Pawan Khera To Be Granted Interim Bail By Delhi Court, Says Supreme Court  https://t.co/R2GQn5kzVF

NDTV's Parimal Kumar reports https://t.co/GI0ZM6Zx7u"
90,2023-02-23 10:39:38+00:00,ndtv,"Relief For Congress' Pawan Khera, Supreme Court Flags ""Level Of Discourse""  https://t.co/R2GQn5kzVF

NDTV's Sunil Prabhu reports https://t.co/w8w1oyt9NV"
91,2023-02-23 10:25:46+00:00,ndtv,"Supreme Court Relief For Congress' Pawan Khera, Who Was Deplaned, Arrested  https://t.co/R2GQn5kzVF

NDTV's Sunil Prabhu reports https://t.co/C7CStyMtZz"
92,2023-02-23 10:12:40+00:00,ndtv,"Pawan Khera To Be Granted Interim Bail By Delhi Court, Says Supreme Court  https://t.co/Yrwqv3U5W5

NDTV's Arvind Gunasekar reports https://t.co/t7yRUG68l4"
93,2023-02-23 10:12:06+00:00,ndtv,#PawanKhera https://t.co/cRzYshwECj
94,2023-02-23 10:09:25+00:00,ndtv,"Congress's Pawan Khera Gets Interim Bail Hours After Arrest https://t.co/Yrwqv3U5W5

NDTV's Arvind Gunasekar reports https://t.co/XSTiCe0zrt"
95,2023-02-23 10:06:08+00:00,ndtv,"Pawan Khera has apologised: Chief Justice of India 

NDTV's Arvind Gunasekar reports https://t.co/SITAVjDbuj"
96,2023-02-23 09:36:32+00:00,ndtv,"Congress's Pawan Khera Deplaned, Arrested, Party Goes To Supreme Court https://t.co/ot7cJJGvsg https://t.co/DfIVVdYp2F"
97,2023-02-23 09:26:27+00:00,ndtv,Punjab Chief Minister Bhagwant Mann speaks at 'Invest Punjab' event https://t.co/lOrjYIoiEv
98,2023-02-23 09:15:26+00:00,ndtv,Arvind Kejriwal's Aide Questioned By Probe Agency In Liquor Policy Case https://t.co/GPJdOia3GN https://t.co/dwhAeg4p7I
99,2023-02-23 09:07:49+00:00,ndtv,#NDTVBeeps | On CCTV: Conman Breaks Down During Raid In Cell; Gucci Sandals Found https://t.co/csT2cCnYol
100,2023-02-23 09:03:55+00:00,ndtv,#PawanKhera https://t.co/YEzhSSqH2A
101,2023-02-23 09:00:42+00:00,ndtv,"Watch: Commotion Inside Plane Over Pawan Khera - ""How Can You Do This?"" https://t.co/aNXG5ACbIU"
102,2023-02-23 08:56:31+00:00,ndtv,"#Breaking | Congress moves Supreme Court over the arrest of Pawan Khera 

NDTV's Arvind Gunasekar reports https://t.co/kPtq3vD5Ex"
103,2023-02-23 08:45:16+00:00,ndtv,Arvind Kejriwal's Aide Questioned By Probe Agency In Liquor Policy Case https://t.co/VfNiZbXkym https://t.co/Aouiiiy0xU
104,2023-02-23 08:41:11+00:00,ndtv,"""Russia’s economy has become isolated. We will stand with Ukraine as long as it takes... Global economy is in a better position today. The US economy remains resilient. Our market remains strong"": Janet Yellen, US Treasury Secretary, on the world economy https://t.co/WU9PQyKrnu"
105,2023-02-23 08:24:49+00:00,ndtv,Congress's #PawanKhera Arrested By Assam Cops Soon After He Was Deplaned https://t.co/ot7cJJGvsg https://t.co/2afGwzA0pD
106,2023-02-23 08:11:08+00:00,ndtv,BJP leader Karuna Gopal on the Assam Police arresting Congress's Pawan Khera soon after he was deplaned https://t.co/7jLgd0ugmS
107,2023-02-23 08:10:40+00:00,ndtv,"Aiyshwarya Mahadev, Congress Spokesperson, on the Assam Police arresting Congress's Pawan Khera soon after he was deplaned https://t.co/pP1uGAKfjT"
108,2023-02-23 08:05:04+00:00,ndtv,"WATCH LIVE: Drama At Delhi Airport, Cops Deplane, Arrest Congress Leader https://t.co/hMlRpgaRS6 https://t.co/lSzhODonry"
109,2023-02-23 08:02:01+00:00,ndtv,Congress's Pawan Khera Arrested By Assam Cops Soon After He Was Deplaned https://t.co/R2GQn5kzVF https://t.co/0AY8gKxcER
110,2023-02-23 07:54:13+00:00,ndtv,#BREAKING | Congress's Pawan Khera arrested by Assam Police minutes after he was deplaned at Delhi airport https://t.co/xdb9XoXrD5 https://t.co/2IL7Aqh8sM
111,2023-02-23 07:51:32+00:00,ndtv,#PawanKhera https://t.co/eHR1tuv4db
112,2023-02-23 07:50:51+00:00,ndtv,#BREAKING | Congress's Pawan Khera arrested by Assam Police minutes after he was deplaned at Delhi airport https://t.co/xdb9XoXrD5 https://t.co/JYSSuxdx2N
113,2023-02-23 07:43:21+00:00,ndtv,"On CCTV, Conman Breaks Down During Raid In Cell; Gucci Sandals Found https://t.co/EDALbqcZmV https://t.co/TkJzIBXQat"
114,2023-02-23 07:38:59+00:00,ndtv,"Setback For OPS, Supreme Court Allows Rival EPS To Stay AIADMK Chief https://t.co/SO1JSFgvlL https://t.co/WgECYRadk3"
115,2023-02-23 07:36:02+00:00,ndtv,"Nirmala Sitharaman, US Treasury Secretary Meet Ahead Of Bengaluru G20 Meet https://t.co/mOL5e6Y80t https://t.co/R8XLYmkrPm"
116,2023-02-23 07:34:18+00:00,ndtv,"Drama At Delhi Airport, Cops Deplane Congress's Pawan Khera https://t.co/ot7cJJGvsg https://t.co/uKsAODAipe"
117,2023-02-23 07:33:30+00:00,ndtv,Watch: What Congress leader Pawan Khera said after he was not allowed to board flight to Raipur https://t.co/dJgT8mRPh2
118,2023-02-23 07:32:33+00:00,ndtv,"#NDTVExclusive | ""BJP Worried,"" Bhupesh Baghel Tells NDTV After Congress Leader Deplaned https://t.co/fLcKiMQr6j"
119,2023-02-23 07:19:36+00:00,ndtv,"WATCH LIVE: Drama At Delhi Airport, Cops Deplane Congress's Pawan Khera https://t.co/hMlRpgaRS6 https://t.co/zST8X7cph7"
120,2023-02-23 07:13:08+00:00,ndtv,"Congress Leader Deplaned, Party Says Assam Police At Delhi Airport https://t.co/R2GQn5kzVF https://t.co/5EsQKh5WNv"
121,2023-02-23 07:10:23+00:00,ndtv,"Congress Leader Deplaned, Party Says Assam Police At Delhi Airport https://t.co/R2GQn5kzVF https://t.co/9c4B4xNgUb"
122,2023-02-23 07:03:00+00:00,ndtv,"#NDTVBeeps | She Locked Herself, Son For 3 Years In House To Escape Covid https://t.co/LFRORaUExI"
123,2023-02-23 07:00:53+00:00,ndtv,#T20WorldCup https://t.co/QPClWH5sgM
124,2023-02-23 06:56:47+00:00,ndtv,"Congress Leader Stopped From Flying Out Of Delhi, Party Protest On Tarmac https://t.co/ot7cJJGvsg https://t.co/saD6egtxft"
125,2023-02-23 06:55:36+00:00,ndtv,Arvind Kejriwal's Aide Questioned By Probe Agency In Liquor Policy Case https://t.co/GPJdOia3GN https://t.co/nhEmwaxUoz
